id,name,population,SARSCASES,SARSDEATHS,SARSRECOVERED,MERSC,H1N1D,H1N1C,MERSCA,MERSD,CC,CR,CD
TZA,Tanzania,41892895,0,0,0,0,1,692,0,0,,,
ARG,Argentina,41343201,0,0,0,0,626,10209,0,0,,,
ESP,Spain,40548753,1,0,1,0,4,1538,0,0,,,
KEN,Kenya,40046566,0,0,0,0,0,417,0,0,,,
POL,Poland,38463689,0,0,0,0,148,164,0,0,,,
DZA,Algeria,34586184,0,0,0,2,57,476,2,1,,,
CAN,Canada,33759742,250,38,194,0,429,10156,0,0,,,
UGA,Uganda,33398682,0,0,0,0,0,262,0,0,,,
MAR,Morocco,31627428,0,0,0,0,64,2890,0,0,,,
PER,Peru,29907003,0,0,0,0,217,8868,0,0,,,
IRQ,Iraq,29671605,0,0,0,0,42,2880,0,0,,,
SAU,Saudi Arabia,29207277,0,0,0,2058,128,14500,1165,498,,,
AFG,Afghanistan,29121286,0,0,0,0,17,837,0,0,,,
NPL,Nepal,28951852,0,0,0,0,2,171,0,0,,,
UZB,Uzbekistan,27865738,0,0,0,0,0,0,0,0,,,
VEN,Venezuela,27223228,0,0,0,0,133,1973,0,0,,,
MYS,Malaysia,26160256,5,2,3,2,77,1476,1,1,,,
GHA,Ghana,24339838,0,0,0,0,1,54,0,0,,,
YEM,Yemen,23495361,0,0,0,1,31,1381,1,1,,,
TWN,Taiwan,23024956,0,0,0,0,0,0,0,0,,,
PRK,"Korea, North",22757275,0,0,0,0,0,0,0,0,,,
SYR,Syria,22198110,0,0,0,0,138,432,0,0,,,
ROU,Romania,22181287,1,0,1,0,122,3112,0,0,,,
MOZ,Mozambique,22061451,0,0,0,0,2,101,0,0,,,
AUS,Australia,21515754,0,0,0,0,191,37553,0,0,,,
LKA,Sri Lanka,21513990,0,0,0,0,48,631,0,0,,,
MDG,Madagascar,21281844,0,0,0,0,3,877,0,0,,,
CIV,Cote d'Ivoire,21058798,0,0,0,0,0,4,0,0,,,
CMR,Cameroon,19294149,0,0,0,0,0,4,0,0,,,
NLD,Netherlands,16783092,0,0,0,2,59,1473,2,0,,,
CHL,Chile,16746491,0,0,0,0,155,12258,0,0,,,
BFA,Burkina Faso,16241811,0,0,0,0,0,0,0,0,,,
NER,Niger,15878271,0,0,0,0,0,0,0,0,,,
KAZ,Kazakhstan,15460484,0,0,0,0,0,17,0,0,,,
MWI,Malawi,15447500,0,0,0,0,0,4,0,0,,,
ECU,Ecuador,14790608,0,0,0,0,120,2251,0,0,,,
KHM,Cambodia,14753320,0,0,0,0,6,21,0,0,,,
SEN,Senegal,14086103,0,0,0,0,0,0,0,0,,,
MLI,Mali,13796354,0,0,0,0,0,7,0,0,,,
GTM,Guatemala,13550440,0,0,0,0,18,1170,0,0,,,
AGO,Angola,13068161,0,0,0,0,0,37,0,0,,,
ZMB,Zambia,12056923,0,0,0,0,0,90,0,0,,,
ZWE,Zimbabwe,11651858,0,0,0,0,0,41,0,0,,,
CUB,Cuba,11477459,0,0,0,0,54,793,0,0,,,
RWA,Rwanda,11055976,0,0,0,0,0,344,0,0,,,
GRC,Greece,10749943,0,0,0,1,139,2149,1,1,,,
PRT,Portugal,10735765,0,0,0,0,0,2983,0,0,,,
TUN,Tunisia,10589025,0,0,0,3,24,1200,3,1,,,
TCD,Chad,10543464,0,0,0,0,0,1,0,0,,,
BEL,Belgium,10423493,0,0,0,0,0,126,0,0,,,
GIN,Guinea,10324025,0,0,0,0,0,0,0,0,,,
CZE,Czech Republic,10201707,0,0,0,0,0,0,0,0,,,
SOM,Somalia,10112453,0,0,0,0,0,2,0,0,,,
BOL,Bolivia,9947418,0,0,0,0,59,2310,0,0,,,
HUN,Hungary,9880059,0,0,0,0,130,206,0,0,,,
BDI,Burundi,9863117,0,0,0,0,0,7,0,0,,,
DOM,Dominican Republic,9794487,0,0,0,0,0,0,0,0,,,
BLR,Belarus,9612632,0,0,0,0,20,0,0,0,,,
HTI,Haiti,9203083,0,0,0,0,0,91,0,0,,,
SWE,Sweden,9074055,3,0,3,0,24,1381,0,0,,,
BEN,Benin,9056010,0,0,0,0,0,0,0,0,,,
AZE,Azerbaijan,8303512,0,0,0,0,2,2,0,0,,,
AUT,Austria,8214160,0,0,0,2,0,361,1,0,,,
HND,Honduras,7989415,0,0,0,0,17,560,0,0,,,
CHE,Switzerland,7623438,1,0,1,0,16,1196,0,0,,,
TJK,Tajikistan,7487489,0,0,0,0,0,At least 1,0,0,,,
ISR,Israel,7353985,0,0,0,0,85,1719,0,0,,,
SRB,Serbia,7344847,0,0,0,0,71,160,0,0,,,
BGR,Bulgaria,7148785,0,0,0,0,40,70,0,0,,,
HKG,Hong Kong,7089705,0,0,0,0,0,0,0,0,,,
LAO,Laos,6993767,0,0,0,0,1,156,0,0,,,
LBY,Libya,6461454,0,0,0,0,1,764,0,0,,,
JOR,Jordan,6407085,0,0,0,28,19,3031,21,6,,,
PRY,Paraguay,6375830,0,0,0,0,52,855,0,0,,,
TGO,Togo,6199841,0,0,0,0,0,0,0,0,,,
PNG,Papua New Guinea,6064515,0,0,0,0,0,12,0,0,,,
SLV,El Salvador,6052064,0,0,0,0,33,800,0,0,,,
NIC,Nicaragua,5995928,0,0,0,0,11,2172,0,0,,,
ERI,Eritrea,5792984,0,0,0,0,0,0,0,0,,,
DNK,Denmark,5515575,0,0,0,0,0,651,0,0,,,
KGZ,Kyrgyzstan,5508626,0,0,0,0,0,0,0,0,,,
SVK,Slovakia,5470306,0,0,0,0,54,200,0,0,,,
FIN,Finland,5255068,1,0,1,0,0,305,0,0,,,
